set,query,cls,in_massspecgym,same_adduct
eval,NYTZRFVFIRTFIX,2,True,True
eval,NZASCBIBXNPDMH,3,True,True
eval,NWTGGTMLVAWUHF,3,False,False
eval,LOSIPCYWORXTAW,2,False,False
eval,BDCDNTVZSILEOY,1,True,True
eval,UDMLVGSGFGXFEF,2,True,True
eval,HRRYYCWYCMJNGA,3,True,True
eval,BPYKTIZUTYGOLE,3,True,True
eval,SBNYIBUYPAIQOI,2,False,False
eval,SYKWLIJQEHRDNH,2,False,False
eval,MIROITGPMGDCGI,2,True,True
eval,RHDRMOUSDQDVCE,2,False,False
eval,GIIZNNXWQWCKIB,1,True,True
eval,HFGSQOYIOKBQOW,3,True,True
eval,AFTBPUXZTDLRSP,2,False,False
eval,SJVQHLPISAIATJ,2,True,True
eval,AEWHYWSPVRZHCT,3,True,True
eval,FTAGQROYQYQRHF,1,False,False
eval,BIGUPJIJZYZJMV,2,True,True
eval,STYCQQCWPHBTIH,3,True,True
eval,ABJOCPBDVGJFLG,3,False,False
eval,VULLSLYDWNGNKZ,3,True,True
eval,GPWHCUUIQMGELX,2,True,True
eval,YCWSUKQGVSGXJO,2,True,True
eval,UYULJYQCIXAZIN,1,True,True
eval,MOBUVCKLGDJANF,2,True,True
eval,WTKZYPVTAXZSEM,3,True,True
eval,VOBCHHSFSHYHIA,2,False,False
eval,OFQKTZRDRXZBON,1,True,True
eval,FPVGOYVYIRGMQO,2,True,True
eval,ARHMXGGUMSXGFS,1,True,True
eval,WOPYGCANEAIOEM,2,True,True
eval,OJYLAHXKWMRDGS,1,False,False
eval,BQHHNAPTXQOPBW,2,True,True
eval,BHSDLJXQKBYFNH,2,False,False
eval,GWTQDEWQHCDBEI,2,False,False
eval,XGCUCFKWVIWWNW,2,True,True
eval,OONDLKCAZJZRCW,3,True,True
eval,RAWKXKPJGBUIEG,2,False,False
eval,RTNZWGMBYCVCPK,2,True,True
eval,ZOJAINJCZSVZGW,2,True,True
eval,KQDRVXQXKZXMHP,2,False,False
eval,OMPFZUXZCIVLSI,1,True,True
eval,OWBQCPZBRPKYKE,3,True,True
eval,SRBHCRWAHUOXQL,3,False,False
eval,BITHHVVYSMSWAG,2,False,False
eval,QQBFAVBJOBJSKG,3,True,True
eval,IHPMURIXWRKEKD,3,False,False
eval,FYDVPEVHFUBOJG,1,False,False
eval,UGJMXCAKCUNAIE,2,True,True
eval,BYHVZDRLSCCTND,2,True,True
eval,ANDGGVOPIJEHOF,2,True,True
eval,KKADPXVIOXHVKN,3,False,False
eval,QDDILOVMGWUNGD,3,True,True
eval,JPKVDETWOQEHQO,2,False,False
eval,DXJGGEVMIZJZLN,2,True,True
eval,WRHWVCAYGJOCSG,2,True,True
eval,KJPAOKCLRDGPMI,3,True,True
eval,DNVLJEWNNDHELH,3,True,True
eval,FJKRCBVJIUJMSB,1,True,True
eval,NVEPPWDVLBMNMB,2,True,True
eval,YTKUWDBFDASYHO,3,True,True
eval,PTVXQARCLQPGIR,1,False,False
eval,GTTYINPAUAIFMI,3,True,True
eval,MHJKBJNQJSWYKS,2,False,False
eval,GCKMFJBGXUYNAG,2,True,True
eval,OGNQOWNBNTWYJN,2,True,True
eval,IQZWKGWOBPJWMX,2,False,False
eval,BNQSTAOJRULKNX,2,True,True
eval,FNVCLGWRMXTDSM,3,True,True
eval,JETQIUPBHQNHNZ,3,False,False
eval,UJSHBYQGQRPVNO,2,True,True
eval,RTZKSTLPRTWFEV,2,True,True
eval,OUDSBRTVNLOZBN,2,True,True
eval,NHAQNKDEUQPSIX,3,False,False
eval,BJTZZEBZJSIVGA,3,True,True
eval,QLSUUELDMMCCEI,3,False,False
eval,YRRKLBAKDXSTNC,3,True,True
eval,LJGOHKSMJNTMAH,2,True,True
eval,ZCCLDKGWJIREQF,1,False,False
eval,VOEVEGPMRIYYKC,1,False,False
eval,MKMZAENVDZADSW,1,True,True
eval,OSDYZSDCSJYUFO,3,True,True
eval,DGBNCMKQNOJCFB,3,True,True
eval,QTEHGUUSIIWOOW,2,False,False
eval,IZCOBQSZMYGEDP,2,True,True
eval,LZMOSYUFVYJEPY,2,True,True
eval,XZFUGMCJZFRBKF,1,False,False
eval,BMQZUVJDTYLGMN,3,True,True
eval,YVPUUUDAZYFFQT,3,True,True
eval,JTJJJLSLKZFEPJ,2,True,True
eval,HUKWUYRJEKGMFU,3,True,True
eval,QRDNJYNIEGRRKV,3,True,True
eval,UBQNRHZMVUUOMG,1,True,True
eval,ZVNXMCBLBISSKP,3,True,True
eval,HETZRHDDRHBPKX,2,True,True
eval,KOTBWDXNYNTNIY,2,False,False
eval,YJUGKYOFRZOMIJ,2,True,True
eval,YGBZFOQXPOGACY,3,False,False
eval,YEXVXKIMPBHRQR,3,False,False
eval,RFILOXFULBNPOU,2,True,True
eval,FCJIWTZAADYCGI,3,True,True
eval,PBYPZVMETKFGQR,1,True,True
eval,SPSSULHKWOKEEL,3,False,False
eval,JZUFKLXOESDKRF,2,True,True
eval,RCMABBHQYMBYKV,2,True,True
eval,CAHQQYHQUHYOGU,1,True,True
eval,AGRZUANLVXMRCO,2,False,False
eval,NLLJGJGLOHFJMI,1,True,True
eval,MVTLXFDHKDVAIC,1,True,True
eval,GCXASLJTVIGYQE,2,False,False
eval,FEZDDTIDMGTSLT,3,True,True
eval,QYTBBBAHNIWFOD,1,True,True
eval,MNLGBRDSLUAKRO,2,False,False
eval,RWEVZSYWIIZZFV,2,True,True
eval,LJGMGXXCKVFFIS,3,False,False
eval,QZYSUBAQYSVFNX,1,False,False
eval,HXKQKEQCNBMZJW,2,True,True
eval,CMHHMUWAYWTMGS,2,True,True
eval,RDNRIBOBEOTFJG,2,True,True
eval,GAZDXIGXYWVWQX,2,True,True
eval,UBAJTZKNDCEGKL,2,False,False
eval,PAJMKGZZBBTTOY,2,True,True
eval,SSRDSYXGYPJKRR,3,True,True
eval,ITWCBKGNWXDVFP,3,False,False
eval,SRGRIOXSONGZCM,2,True,True
eval,LTFMZDNNPPEQNG,2,True,True
eval,DMDBJWPXOHROAS,2,True,True
eval,NKFZLEYLWAFYEH,3,False,False
eval,HGCSWGCNGLSJDQ,3,True,True
eval,NGSWKAQJJWESNS,2,True,True
eval,AXCLECQLCBWNLZ,3,False,False
eval,WIKNHJPJHDNAME,1,False,False
eval,RIHQHYIWKHVLRH,1,True,True
eval,MFYSUUPKMDJYPF,1,False,False
eval,YXBHWZYFNLJVNP,3,True,True
eval,BSXFDHHTXOAUGB,2,True,True
eval,UTOPWMOLSKOLTQ,1,False,False
eval,RPAVTHDZANYLNL,3,True,True
eval,JPRAADAALYQLIE,3,False,False
eval,YOVVNQKCSKSHKT,3,True,True
eval,JAAFNWYGLROOGI,2,True,True
eval,RIRGCFBBHQEQQH,2,True,True
eval,FZAVQTYIBVEBHF,2,False,False
eval,OBMNJSNZOWALQB,2,True,True
eval,DAXZWJMEKUNRCD,2,True,True
eval,NCXYJHRCPJFINE,1,True,True
eval,DLRVVLDZNNYCBX,2,True,True
eval,SHIZRFSRTKXRQL,1,False,False
eval,XWMNRKXRGYSMGY,2,False,False
eval,QNZCBYKSOIHPEH,3,True,True
eval,XQUDPNNCEUPWIL,2,True,True
eval,PXMJCECEFTYEKE,2,False,False
eval,ZXONBNBMIDUHPG,2,False,False
eval,UXUFMIJZNYXWDX,1,True,True
eval,OCLJUQSRRLIINU,2,True,True
eval,PRGILOMAMBLWNG,2,False,False
eval,DIBVDMNGVYXRJK,2,True,True
eval,FXFRDTNUZHPKAI,3,True,True
eval,VPAOSFFTKWUGAD,1,True,True
eval,JNAHVYVRKWKWKQ,3,True,True
eval,NTHPAPBPFQJABD,1,True,True
eval,SCYCMFQAMTUOEU,2,True,True
eval,RXRSNDCGNOOFLH,3,True,True
eval,OEXHQOGQTVQTAT,3,False,False
eval,HXXFSFRBOHSIMQ,3,True,True
eval,VUEOHJNEHXJLDD,1,True,True
eval,URYYGMVXBWUJFP,3,False,False
eval,PATJZXBBUQEFOY,2,False,False
eval,IIGQXTIUKKRHCT,3,False,False
eval,LSNWBKACGXCGAJ,1,True,True
eval,WSMQBJMPWPNLTJ,2,True,True
eval,JNRNIJXHDHXSIY,3,False,False
eval,CZLWGXKWXLVFJU,2,True,True
eval,XDJCLCLBSGGNKS,3,True,True
eval,QYGUYHZAAVMQBV,2,True,True
eval,ARBHXJXXVVHMET,2,False,False
eval,SIOXYUXOHTZOOM,3,True,True
eval,KSGXQBZTULBEEQ,2,True,True
eval,SWYCMJAKZYLTJN,2,False,False
eval,ZADWXFSZEAPBJS,3,True,True
eval,CBFCUSQKTDQXKC,2,True,True
eval,URAYMAONOUOAOQ,3,True,True
eval,XTKVNQKOTKPCKM,2,True,True
eval,JIEVJXRUYDZFTD,1,False,False
eval,BNSKYFUGMLMCLM,3,True,True
eval,CUAPOUHDJKWLOB,1,False,False
eval,DCFDRCCHOOORSB,2,True,True
eval,VDNBKSIMLSGEHD,2,True,True
eval,OOBHFESNSZDWIU,3,True,True
eval,BVIXPBFQDINHQZ,3,True,True
eval,OOEOVXMORBPOKC,3,True,True
eval,YCXRBCHEOFVYEN,3,True,True
eval,OLCVEOSSVCAFGR,1,False,False
eval,URGMNEBQCDTMGX,2,True,True
eval,FNFQCEGHMNKYIA,3,True,True
eval,LBZMXGLPRHGPRE,3,True,True
eval,QMNWISYXSJWHRY,3,True,True
eval,MDHYEMXUFSJLGV,3,True,True
eval,PKEGICXVZMKJPR,2,False,False
eval,LGSDYQBPJKYJCT,3,False,False
eval,MKGZDUKUQPPHFM,3,True,True
eval,JSUQFTGQEWFVFA,3,True,True
eval,DHERRFSDLNUGOK,3,False,False
eval,FFSSWMQPCJRCRV,2,True,True
eval,XJHDMGJURBVLLE,1,True,True
eval,FENDTMDXZKLLQD,2,True,True
eval,KAJXOWFGKYKMMZ,2,True,True
eval,MHASSCPGKAMILD,3,False,False
eval,ZVXYGPURDSESHS,1,False,False
eval,KIJZQEXKCZHTNA,3,False,False
eval,KZTNBUSIRSVZGK,2,True,True
eval,LLEMSCWAKNQHHA,2,True,True
eval,VJYFKVYYMZPMAB,2,True,True
eval,WNANPKYNOALKIV,3,True,True
eval,YIGARKIIFOHVPF,2,True,False
eval,KQBFNIVRWYGXRN,2,True,True
eval,FWVHWDSCPKXMDB,3,True,True
eval,CBTFERBMQQAROP,2,False,False
eval,QZGXXZPRJHSVTD,1,False,False
eval,PDGHHNMEFVJAAM,3,False,False
eval,GKMKEUWZFLWKKU,3,False,False
eval,RXZQACCASWKYSX,3,True,True
eval,NPUXQAACUNUHIX,3,False,False
eval,CANZBRDGRHNSGZ,2,False,False
eval,ICJJPTZLMALYBH,2,True,True
eval,QGFJORGLNPWXMK,1,False,False
eval,VOUDTVRGPAGHGA,3,False,False
eval,SDKQRNRRDYRQKY,2,True,True
eval,WHBIGIKBNXZKFE,3,True,True
eval,IJOCZMKYIFYFQK,1,True,True
eval,QZPRUZHYBANQFG,3,True,True
eval,GJSLOMWRLALDCT,2,False,False
eval,FYWCDZKQBWSMDD,3,True,True
eval,YYJRAGPDSYXARF,2,False,False
eval,JCHWTVUGTSYUOL,3,True,True
eval,VXOWSCCBONVSRU,3,True,True
eval,NGROIZSHBGXMTB,3,True,True
eval,PBOSTUDLECTMNL,2,False,False
eval,BWSFBLYFHGZBRQ,3,True,True
eval,XELXKZJCZXSVKJ,3,True,True
eval,ULGNGSQNNMKROG,2,False,False
eval,WJJBQRNAMWKGNO,2,True,True
eval,VQEONGKQWIFHMN,3,True,True
eval,GZIFEOYASATJEH,3,True,True
eval,OEZJTMNFEIOILN,2,True,True
eval,WHQCHUCQKNIQEC,3,False,False
eval,VGJOYFZLAIERID,2,True,True
eval,CHXGEXUSMGVBKI,3,False,False
eval,PTDAHAWQAGSZDD,2,True,True
eval,WWYBIFCBAWCPFI,3,False,False
eval,NHAFYGMKGLAVPH,3,False,False
eval,DEFJQIDDEAULHB,3,True,True
eval,CABVTRNMFUVUDM,2,False,False
eval,PYVRVRFVLRNJLY,2,True,True
eval,NMOVJBAGBXIKCG,2,False,False
eval,NIOKCFABUMZUDL,1,False,False
eval,UMJHTFHIQDEGKB,1,True,True
eval,CFDIWPPOFAWCOJ,2,False,False
eval,IRGJVQIJENCTQF,3,False,False
eval,LLHJXODPYGGYCJ,3,True,True
eval,INHVGPIPHZJQOP,2,True,True
eval,AOCHUNQIEDKKDL,2,True,True
eval,NHKZSTHOYNWEEZ,3,False,False
eval,JOWXJLIFIIOYMS,2,True,True
eval,QPDMOMIYLJMOQJ,3,True,True
eval,FNOWZTMNFWPNII,1,True,True
eval,XGDZEDRBLVIUMX,2,False,False
eval,HNXQXTQTPAJEJL,2,True,True
eval,WKHHFWJJIRCXHA,3,False,False
eval,JTUCCIJVUMWRPQ,3,True,True
eval,BTLGECQNWBWUCT,2,True,True
eval,BIXZHMJUSMUDOQ,2,False,False
eval,UNAWQKTWGFQKSW,2,False,False
eval,AKGUUTOJDVYTKL,2,True,True
eval,VXFJYXUZANRPDJ,3,True,True
eval,VPKMKALIOUCHIT,3,False,False
eval,MZIBEZJUHBXEJQ,1,False,False
eval,JQUHMSXLZZWRHU,2,True,True
eval,ODNMTIVRLHXQTE,2,False,False
eval,QANMHLXAZMSUEX,3,True,True
eval,ZXGWUCRPMYBWGO,2,False,False
eval,OMGUWQWBDLPKCU,1,False,False
eval,BGOFCVIGEYGEOF,2,True,True
eval,KLMHYCKSMUAZFP,1,True,True
eval,KKOLMSSIDZXPLS,2,True,True
eval,RSIWXFIBHXYNFM,3,True,True
eval,CAUANPLJFMVCHO,3,True,True
eval,MBTAFMZUDOUGPS,2,False,False
eval,HXYVTAGFYLMHSO,2,True,True
eval,ADPAPZVYVYEBGS,1,True,True
eval,UXYRZJKIQKRJCF,2,False,False
eval,JVXWNCRJCLOVRQ,3,False,False
eval,IGODCUREOYTJPM,3,True,True
eval,DKEXFJVMVGETOO,2,True,True
eval,WBWWGRHZICKQGZ,3,True,True
eval,SLUFFIKFMLYKDM,3,False,False
eval,NORHBOUZICGKOK,3,True,True
eval,VEYNISLTHXQSGU,2,True,True
eval,BXPINNBJLNOEOY,2,True,True
eval,AJMZUFBKADIAKC,2,False,False
eval,WDKOBPGTYYAAKJ,1,True,True
eval,DDNCQMVWWZOMLN,3,True,True
eval,DYNHJHQFHQTFTP,2,True,True
eval,CUCNRHYDISBEQH,3,True,True
eval,SAMXBYLRDCRTCV,2,True,True
eval,WPZBPGLDPHSUSA,2,False,False
eval,VFCNQNZNPKRXIT,1,False,False
eval,IEZRNEGTKRQRFV,2,True,True
eval,YLILOANQCQKPOD,2,False,False
eval,SRWVXXOQHDZZPL,3,True,True
eval,DINQLGRRIYZCPG,3,True,True
eval,POQICXMTUPVZMX,2,True,True
eval,GSROTDACALJGFK,3,True,True
eval,PHLXREOMFNVWOH,2,True,True
eval,YHGXYYIGHBPDMX,3,False,False
eval,PWAOOJDMFUQOKB,3,True,True
eval,NXJLRTWACLZUAZ,2,True,True
eval,HCJZFFIWRCBJKQ,3,True,True
eval,XCCTYIAWTASOJW,3,True,True
eval,VCCNKWWXYVWTLT,2,True,True
eval,BBIDMUQZCCGABN,3,False,False
eval,OWBQCPZBRPKYKE,3,True,True
eval,LRHVZVQHYQOHJX,2,False,False
eval,OBTRHSACGAHRDM,2,True,True
eval,ONLMUMPTRGEPCH,2,False,False
eval,NEEQFPMRODQIKX,3,True,True
eval,GBAMFFILOSWMOO,3,False,False
eval,XOXYHGOIRWABTC,2,True,True
eval,IQHUITKNHOKGFC,1,True,True
eval,PCMUPOUDXMFDRE,2,True,True
eval,DVLLGHPCJPEUHA,3,True,True
eval,VTYFITADLSVOAS,2,True,True
eval,GCMGJWLOGKSUGX,3,True,True
eval,LHZZULHOQSQSJN,2,True,True
eval,BUKBJIBZOCTYLQ,3,True,True
eval,CWVSUZGVHGBQBL,3,False,False
eval,SUSIMFZQHRKHPM,2,False,False
eval,MFOUDYKPLGXPGO,2,True,True
eval,MRMHZWKIOFZZID,2,True,True
eval,RPAVTHDZANYLNL,2,True,True
eval,VHLKTXFWDRXILV,3,True,True
eval,BJGUEPXNQKBVBW,2,True,True
eval,YCIXWYOBMVNGTB,3,True,True
eval,TXNJQKDZOVFCAQ,3,False,False
eval,ITRJWOMZKQRYTA,1,True,True
eval,BQKXJCBALVIMOT,2,True,True
eval,KWAMQJKXYGOFSY,2,True,True
eval,JQHGZAGUFPJYDL,3,False,False
eval,YMDDELUTDBQEMT,1,False,False
eval,IBXCKSUZOFKGSB,1,True,True
eval,DJSISFGPUUYILV,1,True,True
eval,CUDVHEFYRIWYQD,2,True,True
eval,OZKVQSNRAFPWMK,2,False,False
eval,SOLIIYNRSAWTSQ,1,True,True
eval,RJWJHRPNHPHBRN,2,True,True
eval,PSZDOEIIIJFCFE,2,False,False
eval,QZKUNAATQJYHIC,2,False,False
eval,NVJLIMSDAPOFHF,3,False,False
eval,KDFKJOFJHSVROC,3,True,True
eval,INVOSXVUPRCXKV,2,False,False
eval,WXZVAROIGSFCFJ,1,True,True
eval,DIJBBUIOWGGQOP,1,True,True
eval,SNXPWYFWAZVIAU,2,True,True
eval,LZOSYCMHQXPBFU,3,True,True
eval,HXQHFNIKBKZGRP,1,True,True
eval,XAPCMTMQBXLDBB,2,True,True
eval,AJVSQVXQCTVFFY,2,True,True
eval,JKYJSFISYHSNOE,2,True,True
eval,ILQLITDRYFHAGM,2,False,False
eval,YSGQGNQWBLYHPE,2,False,False
eval,PZNPHSFXILSZTM,3,False,False
eval,LFHNVTKRYWORIP,2,True,True
eval,IKACRWYHQXOSGM,2,True,True
eval,KQKIBPHENIYGEF,1,False,False
eval,BVHCIBPROINFPQ,3,False,False
eval,WRSGLSMQZLBGNH,3,False,False
eval,PRFXRIUZNKLRHM,3,True,True
eval,XJLATMLVMSFZBN,2,True,True
eval,UPTYCYWTFGTCCG,2,True,True
eval,WYDUSKDSKCASEF,1,True,True
eval,ACQRUPZAAPLQQP,3,True,True
eval,WBIQYHZEYQDKCL,2,True,True
eval,UXYJCYXWJGAKQY,3,True,True
eval,PHXOAJMVLUFUDQ,3,True,True
eval,WZWIOTYITIUOCJ,2,False,False
eval,AVFIYMSJDDGDBQ,2,True,True
eval,NQGSPODDMCKPBZ,2,True,True
eval,ZUKWGQJERAFPPP,2,True,True
eval,SDTFURCSGWUESP,3,True,True
eval,BUQQDANPHQFSEK,3,True,True
eval,IIFCLXHRIYTHPV,3,True,True
eval,DYUGTPXLDJQBRB,2,True,True
eval,FPNYZEUDIBOJQA,3,True,True
eval,DFGYGTWTXGTQIC,2,True,True
eval,IRIKOFVOCRZPKL,1,True,True
eval,MSWRFBPAGLGJCX,2,True,True
eval,CNKHSLKYRMDDNQ,3,True,True
eval,SWMBSQOIQMEUOU,3,True,True
eval,NFZWLQORNBHQRQ,2,True,True
eval,HXQQNYSFSLBXQJ,2,False,False
eval,RMFZYEBIQCUWPE,3,True,True
eval,HPHXOIULGYVAKW,2,True,True
eval,MULATNABYLUECQ,3,True,True
eval,HTPFCQBRMHUAEU,3,True,True
eval,XUOQKQRMICQUQC,3,True,True
eval,AJFWREUFUPEYII,2,True,True
eval,URBFANMWRODMRT,1,True,True
eval,OFVLGDICTFRJMM,2,True,True
eval,ZBBZROWQLKCFQK,2,False,False
eval,HCYAFALTSJYZDH,1,True,True
eval,XHCADAYNFIFUHF,3,True,True
eval,OOADLWBTJWWEHC,2,True,True
eval,DXBJHRPKFQGVGZ,3,True,True
eval,JUGKCFLQZJYLHO,3,True,True
eval,BJMXBTRNBWZGEQ,2,True,True
eval,COUKTHZXLGYKPK,3,False,False
eval,AVLKQJXYLBZMPQ,3,True,True
eval,OGXNFSOEIVPPSG,3,True,True
eval,AZIUYJPOBCMPON,3,False,False
eval,HPFXACZRFJDURI,2,True,True
eval,FJQKXKNZQQBTDD,2,True,True
eval,DTPCFIHYWYONMD,2,True,True
eval,NTBBASCGALPTDC,2,False,False
eval,OBBKIKZFVSBXJQ,1,False,False
eval,CTXHTRWRNKBGGX,1,True,True
eval,RCYPVQCPYKNSTG,3,True,True
eval,TZFWDZFKRBELIQ,2,True,True
eval,GCCFMSAXQJECNH,1,True,True
eval,GUHPRPJDBZHYCJ,1,True,True
eval,HXKURAVERIWKLH,3,True,True
eval,AOPBDRUWRLBSDB,3,True,True
eval,IDRHDKGNUNKODU,2,True,True
eval,QQUHMASGPODSIW,3,True,True
eval,DQJKVVGTJNBSOS,2,True,True
eval,APTOFTJOCNPNQP,1,True,True
eval,MOALQBYBRKKDEH,2,False,False
eval,YFHHIZGZVLHBQZ,3,False,False
eval,IXIMDUAPYHOVHL,1,True,True
eval,BPZZWRPHVVDAPT,1,False,False
eval,SZMJVTADHFNAIS,1,True,True
eval,FXOBIDROVMXPBW,2,False,False
eval,DMTIGERKTROHBA,2,True,True
eval,CNEAFYADRZPYEP,2,False,False
eval,ZQDWXGKKHFNSQK,1,True,True
eval,SWLNXMJZQXZBCB,2,True,True
eval,CECREIRZLPLYDM,1,False,False
eval,PJWYFLXQADFKOL,1,True,True
eval,SFTJTIUAYCUEKQ,3,False,False
eval,JUVIOZPCNVVQFO,3,True,True
eval,MHJBZVSGOZTKRH,3,True,True
eval,CAMYXILYLXYDFE,1,True,True
eval,ZGLXUQQMLLIKAN,3,False,False
eval,LKVIDBLGZHMPCV,2,True,True
eval,KJPAOKCLRDGPMI,3,True,True
eval,DOUQNGAJTIRQPP,3,False,False
eval,YYVYAPXYZVYDHN,2,True,True
eval,RVXFSLZMZOFGEQ,2,False,False
eval,OHZHMFHUDGVZSK,1,True,True
eval,YMPALHOKRBVHOJ,3,True,True
eval,RMPRESDCJMOAHW,2,True,True
eval,SECPZKHBENQXJG,1,True,True
eval,MRHAPHFJBAUDTR,2,True,True
eval,BJVAIYSAEBZQNS,2,True,True
eval,QADHLRWLCPCEKT,3,False,False
eval,ZRBFCAALKKNCJG,1,True,True
eval,TXFYYWHRTDECTR,2,True,True
eval,XIRNKXNNONJFQO,3,True,True
eval,GZGZWZVAJDFXJK,2,True,True
eval,JQKLZAQSMGFZSI,2,True,True
eval,XZZNDPSIHUTMOC,3,True,True
eval,RIGIWEGXTTUCIQ,3,True,True
eval,DTDADHMBRZKXSC,1,False,False
eval,CIGQQQTZOIDQQR,3,True,True
eval,DMVOXQPQNTYEKQ,2,False,False
eval,PTKSEFOSCHHMPD,2,True,True
eval,LZMRDTLRSDRUSU,2,False,False
eval,NGBFQHCMQULJNZ,3,True,True
eval,FELGMEQIXOGIFQ,1,True,True
eval,QMGGMESMCJCABO,2,True,True
eval,KDFQABSFVYLGPM,1,False,False
eval,BRXNFHGWRDJMSF,2,True,True
eval,ARJHYIXJSHLFBK,2,True,True
eval,LYGRISUQIZNHGM,2,True,True
eval,PCUOEOPTDCUNQQ,2,False,False
eval,HQVOPXGNHGTKOD,1,False,False
eval,UIHPNZDZCOEZEN,3,True,True
eval,NAIMYXZJCNXCQD,3,True,True
eval,IRVWPZRYDQROLU,3,True,True
eval,ABEPLDYBWOKMCT,2,True,True
eval,DCWLOCNJVDYFMA,3,False,False
eval,NHNODHRSCRALBF,1,True,True
eval,VVDZZNWYISOIDK,1,False,False
eval,OWBAIJHXJULMDF,3,True,True
eval,WEJYNZVGAGTAKE,2,True,True
eval,QIEPESYLHXEYLK,2,True,True
eval,ZKFQEACEUNWPMT,3,True,True
eval,KDCCOOGTVSRCHX,3,True,True
eval,OKRNDQLCMXUCGG,2,True,True
eval,DPBYCORQBMMFJZ,2,True,True
eval,APGIPIWYVRPJKL,2,True,True
eval,UORGKBIHVJEQBO,1,False,False
eval,KQGDHYQRJRGMDG,3,True,True
eval,KLFIUQCKSSAFFU,1,True,True
eval,XNPVHIQPSAZTLC,2,True,True
eval,UPNWIBPHYOJXOA,2,False,False
eval,WVLHGCRWEHCIOT,3,True,True
eval,RCIAZDQVOCMCHH,3,False,False
eval,LEHOTFFKMJEONL,1,True,True
eval,YLCJNMGKCHGJRF,3,True,True
eval,AFCGFAGUEYAMAO,3,True,True
eval,NZRLODDQFPZTPM,3,True,True
eval,JWFCDGLPKVNFEN,2,False,False
eval,FZTCTTODSSJQQB,2,True,True
eval,WXTPOHDTGNYFSB,3,False,False
eval,NQUADVBAWMQDCB,3,True,True
eval,APZYKUZPJCQGPP,2,True,True
eval,RWHOZGRAXYWRNX,3,False,False
eval,SRRJCDUOSQWHGS,2,False,False
eval,DJJCXFVJDGTHFX,3,True,True
eval,LBQUZEGPLOWJBH,1,True,True
eval,LZGVQJDYLAUCGI,2,True,True
eval,PKZLCDIEFSFXDK,3,False,False
eval,ZFHBPZHOLGMDMW,2,False,False
eval,JLDQDLKBBDQYDE,2,True,True
eval,AIZFEOPQVZBNGH,3,True,True
